alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.9;1.0;99.0;65.4;34.6;34.4;29.55;4.664;15.8032894694
0.9;9.0;0.05;76.0;24.0;26.2;29.34;3.336;11.3358177237
0.9;9.0;0.3;50.2;49.8;24.0;29.81;6.784;22.743222003
0.9;9.0;0.6;20.2;79.8;22.2;30.21;10.94;36.1423673086
0.9;9.0;0.9;2.6;97.4;10.4;29.38;15.932;54.2588427684
0.9;9.0;1.0;0.8;99.2;10.6;29.8;17.586;58.976390691
0.9;9.0;9.0;29.4;70.6;15.2;29.97;9.75;32.5147316007
0.9;9.0;99.0;27.8;72.2;19.8;29.07;9.658;33.1431393671
0.9;99.0;0.05;74.2;25.8;14.2;29.33;3.954;13.4815280786
0.9;99.0;0.3;53.0;47.0;22.8;30.28;6.196;20.4746970851
0.9;99.0;0.6;18.6;81.4;18.8;29.61;11.766;39.7456452032
0.9;99.0;0.9;2.6;97.4;11.8;29.71;15.694;52.8246327901
0.9;99.0;1.0;0.2;99.8;13.8;29.62;17.76;59.9779996007
0.9;99.0;9.0;31.2;68.8;21.8;29.45;9.312;31.6348232668
0.9;99.0;99.0;29.8;70.2;17.2;29.46;9.42;31.9677599714
1.0;0.05;0.05;77.4;22.6;29.0;29.93;3.072;10.2323514169
1.0;0.05;0.3;49.6;50.4;23.0;29.82;6.242;20.8747360939
1.0;0.05;0.6;21.8;78.2;17.0;29.27;11.29;38.5621104839
1.0;0.05;0.9;2.6;97.4;10.4;29.45;16.112;54.7196167288
1.0;0.05;1.0;0.6;99.4;11.6;29.83;17.52;58.69469235
1.0;0.05;9.0;29.4;70.6;23.8;29.7;9.6;32.3871787435
1.0;0.05;99.0;23.8;76.2;18.0;29.62;10.66;35.9574305682
1.0;0.3;0.05;78.0;22.0;22.4;29.7;3.316;11.1390577068
1.0;0.3;0.3;57.4;42.6;30.8;30.61;5.97;19.472534349
1.0;0.3;0.6;26.0;74.0;19.2;29.75;10.708;36.0071287892
1.0;0.3;0.9;4.8;95.2;9.4;29.91;16.698;55.8325959236
1.0;0.3;1.0;0.8;99.2;11.6;29.55;17.318;58.5981181556
1.0;0.3;9.0;38.2;61.8;17.0;29.14;8.55;29.3658855319
1.0;0.3;99.0;37.0;63.0;15.6;29.29;9.28;31.5951378464
1.0;0.6;0.05;72.8;27.2;27.6;30.06;4.354;14.4740818613
1.0;0.6;0.3;57.6;42.4;21.0;29.3;5.776;19.6942147683
1.0;0.6;0.6;32.8;67.2;17.8;29.79;9.702;32.5595413364
1.0;0.6;0.9;8.8;91.2;11.0;29.9;15.238;50.8693510079
1.0;0.6;1.0;2.8;97.2;15.6;30.29;16.906;55.7951844282
1.0;0.6;9.0;44.6;55.4;20.4;29.0;7.322;25.2000985903
1.0;0.6;99.0;41.2;58.8;26.2;29.93;8.37;27.9538510667
1.0;0.9;0.05;75.6;24.4;20.8;29.47;3.404;11.5509413625
1.0;0.9;0.3;69.2;30.8;34.0;29.88;3.944;13.2039428658
1.0;0.9;0.6;45.0;55.0;21.8;29.4;7.83;26.5492008216
1.0;0.9;0.9;32.4;67.6;28.2;29.74;9.918;33.3922503582
1.0;0.9;1.0;0.2;99.8;8.4;29.85;18.226;61.0376752187
1.0;0.9;9.0;52.0;48.0;22.6;30.04;6.796;22.5624755275
1.0;0.9;99.0;53.2;46.8;26.4;30.11;6.688;22.2325762828
1.0;1.0;0.05;81.4;18.6;23.0;29.7;2.506;8.41520128831
1.0;1.0;0.3;75.0;25.0;30.4;30.0;3.458;11.5241676203
1.0;1.0;0.6;66.8;33.2;26.4;29.69;4.638;15.6503203019
1.0;1.0;0.9;73.0;27.0;28.0;29.92;3.616;12.0574614811
1.0;1.0;1.0;1.2;98.8;13.4;29.77;17.418;58.5136831666
1.0;1.0;9.0;70.8;29.2;24.6;29.93;4.154;13.8918093806
1.0;1.0;99.0;67.0;33.0;26.8;29.99;4.664;15.5707734765
1.0;9.0;0.05;76.8;23.2;23.6;29.61;3.0;10.1168837674
1.0;9.0;0.3;51.4;48.6;27.0;29.64;6.308;21.2767316107
1.0;9.0;0.6;20.2;79.8;17.2;29.43;11.248;38.2276306318
1.0;9.0;0.9;1.8;98.2;10.8;29.75;16.762;56.2878796745
1.0;9.0;1.0;0.4;99.6;8.4;29.73;17.668;59.4156174197
1.0;9.0;9.0;25.2;74.8;20.6;30.25;11.08;36.6378541684
1.0;9.0;99.0;26.0;74.0;20.4;29.79;9.97;33.4853251328
1.0;99.0;0.05;72.8;27.2;21.0;30.49;4.322;14.1331421186
1.0;99.0;0.3;55.2;44.8;23.6;29.72;5.672;19.1160965032
1.0;99.0;0.6;18.2;81.8;14.2;29.76;12.026;40.4005495983
1.0;99.0;0.9;3.8;96.2;15.4;29.77;15.77;52.9837352769
1.0;99.0;1.0;0.4;99.6;16.4;29.42;17.394;59.1450219306
1.0;99.0;9.0;28.2;71.8;26.4;29.51;9.372;31.7419893662
1.0;99.0;99.0;29.2;70.8;23.8;30.1;10.356;34.4223089682
9.0;0.05;0.05;74.4;25.6;28.4;29.49;3.682;12.4740053764
9.0;0.05;0.3;54.4;45.6;24.8;29.79;5.824;19.4859484242
