alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
1.0;99.0;0.05;73.0;27.0;25.0;29.6;3.992;13.478623985
1.0;99.0;0.3;52.2;47.8;22.2;30.21;6.26;20.7595309598
1.0;99.0;0.6;16.4;83.6;17.6;29.88;11.742;39.2725582024
1.0;99.0;0.9;2.0;98.0;12.4;29.61;15.656;52.8469036775
1.0;99.0;1.0;0.8;99.2;9.8;29.34;17.438;59.4238715828
1.0;99.0;9.0;28.2;71.8;16.8;29.97;10.11;33.7129244025
1.0;99.0;99.0;29.8;70.2;18.0;29.45;9.296;31.5568529368
9.0;0.05;0.05;75.8;24.2;22.0;29.16;3.128;10.70533023
9.0;0.05;0.3;53.0;47.0;22.4;29.17;6.036;20.7144252292
9.0;0.05;0.6;21.0;79.0;23.2;29.11;10.848;37.2554084847
9.0;0.05;0.9;1.6;98.4;14.2;30.82;17.37;56.4074371221
9.0;0.05;1.0;0.2;99.8;12.4;29.62;17.506;59.1011894796
9.0;0.05;9.0;29.4;70.6;17.2;29.7;10.27;34.5808337889
9.0;0.05;99.0;32.6;67.4;17.6;29.69;9.66;32.6260472443
9.0;0.3;0.05;74.8;25.2;25.4;29.57;3.426;11.5662749372
9.0;0.3;0.3;50.0;50.0;24.6;29.51;6.514;22.0879352784
9.0;0.3;0.6;18.0;82.0;16.2;29.81;11.4;38.1985661984
9.0;0.3;0.9;4.0;96.0;20.8;29.77;15.41;51.7303047977
9.0;0.3;1.0;1.4;98.6;12.8;30.1;17.336;57.6204830897
9.0;0.3;9.0;27.8;72.2;21.0;29.92;9.768;32.5806749649
9.0;0.3;99.0;36.6;63.4;18.0;29.54;8.642;29.2455634987
9.0;0.6;0.05;74.4;25.6;19.4;29.56;3.47;11.743507263
9.0;0.6;0.3;62.2;37.8;23.6;29.27;5.172;17.7000239139
9.0;0.6;0.6;30.2;69.8;17.0;29.58;9.884;33.4587267395
9.0;0.6;0.9;9.0;91.0;13.8;29.46;14.634;49.6655476727
9.0;0.6;1.0;0.8;99.2;11.4;30.01;17.618;58.7046131534
9.0;0.6;9.0;43.6;56.4;14.8;29.7;7.578;25.4684252965
9.0;0.6;99.0;43.4;56.6;29.2;30.41;8.248;27.1084135512
9.0;0.9;0.05;74.4;25.6;24.6;29.58;3.426;11.5720563858
9.0;0.9;0.3;60.8;39.2;21.0;30.06;5.496;18.2562556392
9.0;0.9;0.6;37.4;62.6;21.0;29.89;8.952;29.9513517809
9.0;0.9;0.9;3.0;97.0;13.2;30.02;16.02;53.3810454989
9.0;0.9;1.0;2.0;98.0;11.0;30.23;15.71;51.9938922966
9.0;0.9;9.0;39.2;60.8;17.4;30.0;8.62;28.6243105605
9.0;0.9;99.0;45.0;55.0;24.4;29.32;7.628;25.9008916228
9.0;1.0;0.05;78.4;21.6;21.8;29.84;3.198;10.6807869215
9.0;1.0;0.3;60.0;40.0;24.2;29.87;5.786;19.320017539
9.0;1.0;0.6;36.6;63.4;18.8;29.73;8.43;28.4119785517
9.0;1.0;0.9;13.8;86.2;16.4;30.09;13.53;44.9487408394
9.0;1.0;1.0;1.0;99.0;16.6;30.11;17.404;57.8314126878
9.0;1.0;9.0;51.2;48.8;19.4;29.6;6.722;22.7246181193
9.0;1.0;99.0;54.6;45.4;27.4;29.88;6.13;20.5083924316
