alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
9.0;99.0;0.3;51.2;48.8;31.0;29.93;6.338;21.1557301147
9.0;99.0;0.6;23.4;76.6;17.8;30.09;11.128;36.971898954
9.0;99.0;0.9;14.0;86.0;13.0;29.69;13.81;46.4233400444
9.0;99.0;1.0;99.2;0.8;29.0;29.94;0.174;0.587783619899
9.0;99.0;9.0;34.6;65.4;17.6;29.19;9.264;31.7140238632
9.0;99.0;99.0;34.2;65.8;16.4;28.88;8.91;30.8652017028
99.0;0.05;0.05;76.0;24.0;27.6;29.81;3.496;11.7005649181
99.0;0.05;0.3;53.4;46.6;31.0;29.16;5.946;20.3943149786
99.0;0.05;0.6;20.4;79.6;21.6;29.78;11.178;37.5031011825
99.0;0.05;0.9;5.0;95.0;18.6;29.7;15.02;50.5076327724
99.0;0.05;1.0;98.2;1.8;33.0;29.59;0.132;0.445059838276
99.0;0.05;9.0;30.2;69.8;20.0;30.05;9.232;30.7091013432
99.0;0.05;99.0;33.6;66.4;20.0;29.83;9.136;30.6290484223
99.0;0.3;0.05;74.2;25.8;30.0;29.82;3.694;12.374215343
99.0;0.3;0.3;52.8;47.2;30.6;29.25;6.42;21.9584085951
99.0;0.3;0.6;25.4;74.6;18.4;29.74;10.366;34.8508733767
99.0;0.3;0.9;5.6;94.4;13.4;30.28;15.814;52.2382548805
99.0;0.3;1.0;51.0;49.0;19.8;29.31;8.258;28.2088315607
99.0;0.3;9.0;33.6;66.4;29.8;29.24;8.318;28.4722665389
99.0;0.3;99.0;37.0;63.0;25.6;29.75;8.12;27.3369289312
99.0;0.6;0.05;77.4;22.6;25.2;29.89;2.876;9.58227010409
99.0;0.6;0.3;54.4;45.6;11.0;29.6;5.802;19.5943844695
99.0;0.6;0.6;26.6;73.4;20.4;29.91;10.58;35.3445799917
99.0;0.6;0.9;22.6;77.4;19.4;29.85;11.99;40.0619822294
99.0;0.6;1.0;96.8;3.2;28.0;30.12;0.606;2.04600866916
99.0;0.6;9.0;38.6;61.4;15.0;29.56;8.424;28.4926498203
99.0;0.6;99.0;38.4;61.6;28.0;30.03;8.448;28.1362757457
99.0;0.9;0.05;79.0;21.0;23.4;29.6;2.914;9.72472220249
99.0;0.9;0.3;62.4;37.6;31.4;29.46;5.204;17.6049002023
99.0;0.9;0.6;42.4;57.6;20.4;30.11;8.164;27.2502809192
99.0;0.9;0.9;35.6;64.4;16.0;30.03;10.028;33.3773019707
99.0;0.9;1.0;76.4;23.6;39.0;29.85;3.112;10.4134022291
99.0;0.9;9.0;53.8;46.2;28.6;29.21;6.176;21.1185645913
99.0;0.9;99.0;51.6;48.4;24.8;30.1;6.524;21.7233027744
99.0;1.0;0.05;79.4;20.6;35.0;29.96;3.204;10.6728563468
99.0;1.0;0.3;67.8;32.2;32.0;30.31;4.81;15.8492533293
99.0;1.0;0.6;69.8;30.2;24.2;29.53;4.086;13.7891584478
99.0;1.0;0.9;67.0;33.0;26.0;29.54;5.056;17.0824633407
99.0;1.0;1.0;36.0;64.0;21.0;29.93;7.234;24.1300232669
99.0;1.0;9.0;70.6;29.4;31.0;30.23;4.388;14.5110967886
99.0;1.0;99.0;67.8;32.2;28.6;29.26;4.424;15.093644837
99.0;9.0;0.05;73.8;26.2;21.6;29.55;3.764;12.7616986029
99.0;9.0;0.3;55.8;44.2;32.2;29.26;5.814;19.9116527644
99.0;9.0;0.6;22.0;78.0;12.6;29.45;11.024;37.4413639949
99.0;9.0;0.9;12.8;87.2;19.2;29.76;13.852;46.5302551467
99.0;9.0;1.0;97.8;2.2;33.0;29.16;0.194;0.666448604883
99.0;9.0;9.0;33.8;66.2;15.2;29.58;9.216;31.0725170718
99.0;9.0;99.0;35.6;64.4;27.4;28.91;8.506;29.4249086919
99.0;99.0;0.05;76.4;23.6;35.0;29.44;3.122;10.6075984739
99.0;99.0;0.3;53.0;47.0;23.6;29.55;6.688;22.5809853885
99.0;99.0;0.6;23.4;76.6;19.0;30.16;11.154;36.9707295597
99.0;99.0;0.9;7.4;92.6;11.6;29.44;15.134;51.4616239779
99.0;99.0;1.0;99.2;0.8;30.0;29.38;0.114;0.392303688457
99.0;99.0;9.0;34.6;65.4;23.4;30.01;9.096;30.3331262753
99.0;99.0;99.0;35.6;64.4;16.0;29.7;8.91;29.9850143252
