alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.3;99.0;0.3;62.8;37.2;31.4;30.28;5.46;17.9702709659
0.3;99.0;0.6;42.6;57.4;19.0;29.65;8.024;27.0987803082
0.3;99.0;0.9;17.4;82.6;17.0;29.37;12.864;43.763710999
0.3;99.0;1.0;8.0;92.0;16.0;29.63;15.23;51.2762238259
0.3;99.0;9.0;51.0;49.0;16.0;29.38;6.702;22.7787906123
0.3;99.0;99.0;53.6;46.4;32.0;29.95;6.584;22.0036843947
0.3;99.0;999.0;51.4;48.6;20.4;29.33;5.84;19.8847561254
0.3;999.0;0.05;77.8;22.2;30.0;29.5;3.26;11.0866132977
0.3;999.0;0.3;60.0;40.0;25.6;29.34;5.576;19.0194425005
0.3;999.0;0.6;42.4;57.6;21.8;29.77;7.936;26.6568920633
0.3;999.0;0.9;17.8;82.2;10.2;29.85;12.732;42.5685604541
0.3;999.0;1.0;10.4;89.6;15.2;29.47;14.464;49.0184251345
0.3;999.0;9.0;50.4;49.6;19.2;30.25;7.182;23.8117301805
0.3;999.0;99.0;46.4;53.6;24.4;29.6;7.512;25.3634303698
0.3;999.0;999.0;50.0;50.0;22.0;29.62;6.676;22.522816189
0.6;0.05;0.05;77.0;23.0;31.8;30.37;2.892;9.55124285117
0.6;0.05;0.3;52.2;47.8;29.8;30.05;6.22;20.7295506904
0.6;0.05;0.6;21.2;78.8;17.4;30.21;11.822;39.1757595936
0.6;0.05;0.9;3.8;96.2;11.8;29.28;16.032;54.7504767813
0.6;0.05;1.0;1.0;99.0;16.2;29.76;17.848;59.9789656192
0.6;0.05;9.0;27.2;72.8;17.8;29.85;10.176;34.1080036373
0.6;0.05;99.0;31.6;68.4;22.6;29.28;8.91;30.4239139631
0.6;0.05;999.0;32.6;67.4;23.4;29.64;9.14;30.8516744223
0.6;0.3;0.05;73.6;26.4;22.0;29.94;3.554;11.8863128695
0.6;0.3;0.3;55.8;44.2;27.0;29.8;6.17;20.640473343
0.6;0.3;0.6;25.8;74.2;19.6;30.65;10.698;34.8474824652
0.6;0.3;0.9;4.6;95.4;25.8;30.18;15.718;52.0824869764
0.6;0.3;1.0;1.0;99.0;13.4;29.7;17.53;59.0157701194
0.6;0.3;9.0;35.4;64.6;25.4;30.37;9.432;30.9848128118
0.6;0.3;99.0;31.8;68.2;24.6;30.6;9.348;30.5095329773
0.6;0.3;999.0;39.8;60.2;30.8;30.08;8.362;27.8809038342
0.6;0.6;0.05;79.2;20.8;29.0;29.56;3.096;10.4670839174
0.6;0.6;0.3;55.8;44.2;31.8;29.81;5.694;19.060191843
0.6;0.6;0.6;35.8;64.2;12.0;29.03;9.024;31.0904163533
0.6;0.6;0.9;9.4;90.6;22.2;29.88;14.966;50.1325724057
0.6;0.6;1.0;5.2;94.8;13.8;29.98;15.65;52.1342463544
0.6;0.6;9.0;41.6;58.4;24.6;29.93;8.322;27.8561997809
0.6;0.6;99.0;42.2;57.8;30.2;29.71;8.144;27.4172413093
0.6;0.6;999.0;39.0;61.0;22.0;29.51;8.436;28.6193777625
0.6;0.9;0.05;77.4;22.6;26.0;29.55;3.37;11.4026681713
0.6;0.9;0.3;58.2;41.8;19.2;29.47;6.098;20.6722447986
0.6;0.9;0.6;38.8;61.2;24.0;30.55;8.992;29.40735947
0.6;0.9;0.9;15.4;84.6;24.0;30.23;13.602;44.9872077179
0.6;0.9;1.0;7.8;92.2;15.0;29.64;15.772;53.166142537
0.6;0.9;9.0;45.0;55.0;21.8;30.06;7.556;25.139804823
0.6;0.9;99.0;48.4;51.6;18.2;29.51;7.146;24.2182344424
0.6;0.9;999.0;47.8;52.2;20.0;29.81;7.076;23.7313036538
0.6;1.0;0.05;76.4;23.6;27.0;29.79;3.728;12.5476420288
0.6;1.0;0.3;70.2;29.8;19.0;29.78;4.282;14.3545681887
0.6;1.0;0.6;60.0;40.0;18.0;29.21;5.518;18.9276572645
0.6;1.0;0.9;58.0;42.0;25.2;30.16;6.968;23.0935548334
0.6;1.0;1.0;12.8;87.2;11.8;29.73;14.242;47.9119888048
0.6;1.0;9.0;67.8;32.2;26.2;30.28;4.348;14.3366748943
0.6;1.0;99.0;68.6;31.4;27.2;30.17;4.518;14.9526617912
0.6;1.0;999.0;66.4;33.6;23.0;30.55;4.862;15.8223307992
0.6;9.0;0.05;77.2;22.8;26.0;29.57;3.486;11.801616873
0.6;9.0;0.3;71.0;29.0;23.6;29.62;3.622;12.2298854706
0.6;9.0;0.6;60.0;40.0;21.4;29.61;5.534;18.7218768071
0.6;9.0;0.9;27.6;72.4;23.0;29.67;11.592;39.0967000692
0.6;9.0;1.0;4.0;96.0;10.6;29.56;15.892;53.7178108865
0.6;9.0;9.0;67.4;32.6;13.2;29.16;4.574;15.7159657798
0.6;9.0;99.0;65.6;34.4;23.0;29.68;4.552;15.3179347806
0.6;9.0;999.0;68.0;32.0;29.8;29.81;4.192;14.0801543398
0.6;99.0;0.05;77.0;23.0;28.0;29.43;3.386;11.4685224588
0.6;99.0;0.3;69.6;30.4;21.6;29.54;3.816;12.8940714067
0.6;99.0;0.6;50.0;50.0;34.4;28.76;6.06;21.0379374545
0.6;99.0;0.9;19.4;80.6;17.0;29.78;12.46;41.8861437833
0.6;99.0;1.0;4.4;95.6;12.6;29.59;16.94;57.2743300297
0.6;99.0;9.0;61.6;38.4;33.0;29.42;5.096;17.3476864794
0.6;99.0;99.0;57.8;42.2;22.0;29.05;5.398;18.5583181622
0.6;99.0;999.0;62.6;37.4;32.0;29.84;4.884;16.4251919869
0.6;999.0;0.05;83.2;16.8;29.0;29.7;2.378;8.01593178628
0.6;999.0;0.3;70.6;29.4;30.0;29.15;3.918;13.4183938901
0.6;999.0;0.6;54.6;45.4;25.8;30.08;6.366;21.1372397444
