alpha;gamma;epsilon;no_success;success;steps;deadline_start;deadline_end;percentage
0.6;1.0;9.0;68.8;31.2;20.0;29.32;4.54;15.4210459006
0.6;1.0;99.0;68.2;31.8;23.2;30.01;4.42;14.7138092878
0.6;9.0;0.05;79.8;20.2;20.2;29.6;2.774;9.37382829202
0.6;9.0;0.3;70.6;29.4;30.0;29.92;3.936;13.1174959788
0.6;9.0;0.6;53.6;46.4;21.6;29.38;6.044;20.5658341005
0.6;9.0;0.9;9.4;90.6;8.0;29.32;13.834;47.1629820216
0.6;9.0;1.0;0.6;99.4;15.2;29.31;16.648;56.7964886168
0.6;9.0;9.0;69.0;31.0;32.0;29.8;4.386;14.7404246045
0.6;9.0;99.0;60.4;39.6;23.0;29.82;5.004;16.8161206644
0.6;99.0;0.05;79.4;20.6;23.2;29.51;3.1;10.4313951555
0.6;99.0;0.3;68.8;31.2;29.6;30.11;4.362;14.515227199
0.6;99.0;0.6;52.2;47.8;22.2;30.06;6.538;21.721321512
0.6;99.0;0.9;16.6;83.4;8.6;29.53;13.33;45.2191484046
0.6;99.0;1.0;15.4;84.6;19.8;29.91;12.556;41.9350236578
0.6;99.0;9.0;61.4;38.6;30.6;29.32;5.228;17.8083146628
0.6;99.0;99.0;61.2;38.8;33.0;29.73;5.364;17.9950780239
0.9;0.05;0.05;78.8;21.2;37.0;29.43;3.102;10.5638484879
0.9;0.05;0.3;51.0;49.0;37.0;30.0;6.642;22.1456969977
0.9;0.05;0.6;20.6;79.4;18.6;29.63;11.36;38.3638134349
0.9;0.05;0.9;3.6;96.4;14.4;29.73;15.848;53.3143727005
0.9;0.05;1.0;0.2;99.8;11.6;29.37;17.312;58.969501996
0.9;0.05;9.0;30.0;70.0;24.2;29.68;9.394;31.6539528611
0.9;0.05;99.0;29.8;70.2;23.8;29.47;9.586;32.544538254
0.9;0.3;0.05;73.8;26.2;27.4;30.32;3.498;11.5595580787
0.9;0.3;0.3;53.0;47.0;18.8;29.64;6.448;21.8101259639
0.9;0.3;0.6;28.2;71.8;21.8;29.63;10.074;33.9907480044
0.9;0.3;0.9;3.0;97.0;14.0;29.7;16.218;54.6241683553
0.9;0.3;1.0;0.6;99.4;13.8;29.15;17.13;58.7255858148
0.9;0.3;9.0;35.6;64.4;12.0;30.04;9.33;30.9982774208
0.9;0.3;99.0;31.2;68.8;17.6;30.11;9.804;32.5268407646
0.9;0.6;0.05;81.8;18.2;22.2;29.57;2.588;8.73925146999
0.9;0.6;0.3;60.2;39.8;30.4;30.15;5.634;18.7019399906
0.9;0.6;0.6;29.8;70.2;13.0;29.9;9.924;33.2508809955
0.9;0.6;0.9;9.0;91.0;18.2;30.16;14.948;49.5380732193
0.9;0.6;1.0;3.0;97.0;11.4;29.55;15.038;50.8974003055
0.9;0.6;9.0;32.8;67.2;27.4;29.58;9.54;32.2608460401
0.9;0.6;99.0;40.0;60.0;25.4;29.47;8.442;28.6410681063
0.9;0.9;0.05;76.0;24.0;28.0;29.7;3.642;12.2653045916
0.9;0.9;0.3;65.0;35.0;27.0;30.15;5.038;16.7131902697
0.9;0.9;0.6;47.8;52.2;17.2;29.16;7.24;24.7629623513
0.9;0.9;0.9;28.0;72.0;14.6;30.48;10.638;35.0199098652
0.9;0.9;1.0;7.0;93.0;8.8;29.56;15.662;53.1636516985
0.9;0.9;9.0;53.6;46.4;25.0;30.09;6.554;21.7452143944
0.9;0.9;99.0;54.0;46.0;22.6;29.72;6.22;20.9052121355
0.9;1.0;0.05;81.8;18.2;24.4;29.8;2.746;9.13920194984
0.9;1.0;0.3;75.2;24.8;22.0;29.74;3.504;11.7585003609
0.9;1.0;0.6;63.0;37.0;27.0;30.08;5.55;18.4219269304
0.9;1.0;0.9;62.8;37.2;22.6;29.82;5.37;18.0558829561
0.9;1.0;1.0;24.2;75.8;19.8;30.16;11.91;39.4703587125
0.9;1.0;9.0;67.6;32.4;29.4;29.22;4.592;15.6978966701
0.9;1.0;99.0;64.2;35.8;19.2;30.06;5.568;18.4956710601
0.9;9.0;0.05;79.8;20.2;25.8;30.32;3.0;9.84128187514
0.9;9.0;0.3;80.0;20.0;27.0;29.39;3.424;11.6366134158
0.9;9.0;0.6;70.0;30.0;21.6;29.47;3.846;13.0620604302
0.9;9.0;0.9;12.6;87.4;13.2;29.88;14.162;47.4141735412
0.9;9.0;1.0;2.4;97.6;15.2;30.22;16.716;55.3242111009
0.9;9.0;9.0;74.8;25.2;21.8;29.01;3.484;12.0105485767
0.9;9.0;99.0;69.8;30.2;29.6;29.97;4.234;14.0863584729
0.9;99.0;0.05;75.4;24.6;28.0;29.61;3.868;13.0631738514
0.9;99.0;0.3;78.4;21.6;35.0;29.29;3.246;11.1012247
0.9;99.0;0.6;64.6;35.4;23.2;30.01;4.936;16.4191442601
0.9;99.0;0.9;22.2;77.8;20.2;30.64;12.122;39.5402617049
0.9;99.0;1.0;1.0;99.0;10.4;29.94;16.872;56.3797411344
0.9;99.0;9.0;69.8;30.2;21.0;29.65;4.802;16.2314207933
0.9;99.0;99.0;74.2;25.8;30.6;29.56;3.364;11.4120074009
1.0;0.05;0.05;75.4;24.6;27.2;29.43;3.296;11.1793313774
1.0;0.05;0.3;47.8;52.2;29.0;29.7;6.962;23.4366060023
1.0;0.05;0.6;18.8;81.2;12.0;29.96;12.188;40.723647034
1.0;0.05;0.9;2.4;97.6;16.0;29.18;16.178;55.4405749855
1.0;0.05;1.0;0.8;99.2;13.6;29.66;17.866;60.233754065
1.0;0.05;9.0;28.8;71.2;14.6;29.52;9.418;31.8557641858
1.0;0.05;99.0;31.8;68.2;28.8;30.03;9.886;32.9581138817
1.0;0.3;0.05;77.6;22.4;22.6;29.66;3.378;11.3882919166
1.0;0.3;0.3;58.2;41.8;26.2;30.01;5.346;17.7737336659
1.0;0.3;0.6;27.4;72.6;16.0;29.62;9.876;33.280210729
1.0;0.3;0.9;5.4;94.6;7.2;29.35;15.118;51.5187251505
1.0;0.3;1.0;0.8;99.2;16.2;29.36;17.892;60.9108260144
1.0;0.3;9.0;34.6;65.4;21.4;29.2;9.172;31.4190372397
1.0;0.3;99.0;33.2;66.8;18.4;29.56;9.434;31.8985126293
1.0;0.6;0.05;74.8;25.2;23.0;30.15;3.496;11.7408140601
1.0;0.6;0.3;56.2;43.8;28.8;29.95;5.914;19.7351672529
1.0;0.6;0.6;33.0;67.0;14.6;30.0;9.472;31.5166365884
1.0;0.6;0.9;7.0;93.0;15.0;30.24;15.134;50.0625900569
1.0;0.6;1.0;0.8;99.2;11.4;30.15;17.578;58.3150075858
1.0;0.6;9.0;39.4;60.6;20.8;30.3;8.754;28.8972580187
1.0;0.6;99.0;39.4;60.6;32.6;29.76;8.384;28.1546254784
1.0;0.9;0.05;79.8;20.2;28.0;29.43;3.064;10.3262780291
1.0;0.9;0.3;66.6;33.4;24.2;29.33;4.274;14.6151967852
1.0;0.9;0.6;44.6;55.4;29.6;30.08;7.334;24.3768430923
1.0;0.9;0.9;32.8;67.2;20.8;29.61;9.996;33.7743906187
1.0;0.9;1.0;1.2;98.8;14.8;29.81;17.328;58.1137442173
1.0;0.9;9.0;56.6;43.4;17.0;29.05;5.034;17.2943500771
1.0;0.9;99.0;55.2;44.8;27.2;29.23;6.142;20.9950639302
1.0;1.0;0.05;78.0;22.0;29.0;29.45;3.208;10.8562794417
1.0;1.0;0.3;75.8;24.2;29.0;29.81;3.354;11.311866406
1.0;1.0;0.6;69.6;30.4;30.8;29.7;4.28;14.4374228312
1.0;1.0;0.9;68.4;31.6;30.0;29.15;4.772;16.3856107834
1.0;1.0;1.0;1.4;98.6;9.2;29.86;17.542;58.6849232167
1.0;1.0;9.0;67.8;32.2;22.4;29.62;4.722;15.9355574932
1.0;1.0;99.0;73.6;26.4;27.2;30.01;3.856;12.8272371109
1.0;9.0;0.05;76.2;23.8;22.0;29.8;3.594;12.0602329228
1.0;9.0;0.3;73.8;26.2;27.0;29.46;3.472;11.796891263
1.0;9.0;0.6;75.0;25.0;19.8;29.65;3.608;12.200098979
1.0;9.0;0.9;12.6;87.4;12.6;29.56;13.862;46.8674089885
1.0;9.0;1.0;0.6;99.4;11.2;30.02;16.73;55.7064404157
1.0;9.0;9.0;76.6;23.4;29.0;30.4;3.398;11.1320059312
1.0;9.0;99.0;78.0;22.0;33.0;30.25;2.888;9.52314578737
1.0;99.0;0.05;79.0;21.0;27.0;29.87;3.042;10.168507117
1.0;99.0;0.3;77.4;22.6;28.0;29.57;3.478;11.7640307433
1.0;99.0;0.6;72.2;27.8;21.4;29.3;4.098;13.9854762705
1.0;99.0;0.9;19.0;81.0;16.8;28.84;12.248;42.4157163953
1.0;99.0;1.0;0.6;99.4;8.2;29.95;17.942;59.8603336141
1.0;99.0;9.0;75.4;24.6;25.8;29.67;3.564;11.9979714339
1.0;99.0;99.0;74.4;25.6;26.6;29.95;4.06;13.5206064032
9.0;0.05;0.05;73.2;26.8;26.8;29.77;4.114;13.8117732361
9.0;0.05;0.3;50.2;49.8;21.4;30.12;6.748;22.3418143832
9.0;0.05;0.6;19.8;80.2;19.0;30.26;11.808;38.968818816
9.0;0.05;0.9;1.6;98.4;10.2;30.25;16.174;53.4518897465
